ArtistKey,AliasName,AliasType,AliasLocale,AliasPrimary,AliasBeginDate,AliasEndDate,datestamp
e2bd25ef-41c4-440a-b4e4-e7bcec4a3e39,100 Proof Aged in Soul,,,,,,2021-09-02 15:32:11.145718
f37c537b-3557-4031-bfd6-ab63ced32854,Ten CC,,,,,,2021-09-02 15:32:11.145718
f37c537b-3557-4031-bfd6-ab63ced32854,10 CC,,,,,,2021-09-02 15:32:11.145718
9132d515-dc0e-4494-85ae-20f06eed14f9,One Twelve,,,,,,2021-09-02 15:32:11.145718
515b236c-cce1-4dc2-aedd-50de7b1736e2,2Unlimited,,,,,,2021-09-02 15:32:11.145718
515b236c-cce1-4dc2-aedd-50de7b1736e2,Two Unlimited,,,,,,2021-09-02 15:32:11.145718
515b236c-cce1-4dc2-aedd-50de7b1736e2,Unlimited,,,,,,2021-09-02 15:32:11.145718
605e3f29-a8a4-4880-bddd-b9abd73b1ac1,5 Star,,,,,,2021-09-02 15:32:11.145718
8e68819d-71be-4e7d-b41d-f1df81b01d3f,Fifty Cent,Search hint,,,,,2021-09-02 15:32:11.145718
8e68819d-71be-4e7d-b41d-f1df81b01d3f,Curtis Jackson III,Search hint,,,,,2021-09-02 15:32:11.145718
8e68819d-71be-4e7d-b41d-f1df81b01d3f,Curtis James Jackson III,Legal name,,,,,2021-09-02 15:32:11.145718
8e68819d-71be-4e7d-b41d-f1df81b01d3f,Curtis Jackson,Search hint,,,,,2021-09-02 15:32:11.145718
8e68819d-71be-4e7d-b41d-f1df81b01d3f,50 Cents,Search hint,,,,,2021-09-02 15:32:11.145718
8e68819d-71be-4e7d-b41d-f1df81b01d3f,C. Jackson,Search hint,,,,,2021-09-02 15:32:11.145718
8e68819d-71be-4e7d-b41d-f1df81b01d3f,50 Cent,Artist name,en,primary,,,2021-09-02 15:32:11.145718
241a85e3-da78-437e-a511-c18c14792ccc,Ace Flash and the Dynamos,Search hint,,,,,2021-09-02 15:32:11.145718
cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,Adele Adkins,Artist name,,,,,2021-09-02 15:32:11.145718
cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,Adele,,en_GB,,,,2021-09-02 15:32:11.145718
cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,アデル,Artist name,ja,primary,,,2021-09-02 15:32:11.145718
cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,Adele Laurie Blue Adkins,Legal name,,,,,2021-09-02 15:32:11.145718
cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,阿黛尔,Artist name,zh_Hans,primary,,,2021-09-02 15:32:11.145718
ee58c59f-8e7f-4430-b8ca-236c4d3745ae,Vincent Damon Furnier,Legal name,,,1948-02-04,1974,2021-09-02 15:32:11.145718
ee58c59f-8e7f-4430-b8ca-236c4d3745ae,Alice Cooper,Legal name,,,1974,,2021-09-02 15:32:11.145718
ee58c59f-8e7f-4430-b8ca-236c4d3745ae,アリス・クーパー,Artist name,ja,,,,2021-09-02 15:32:11.145718
8ef1df30-ae4f-4dbd-9351-1a32b208a01e,アリシア・キーズ,,,,,,2021-09-02 15:32:11.145718
8ef1df30-ae4f-4dbd-9351-1a32b208a01e,Alicia Keyes,Search hint,,,,,2021-09-02 15:32:11.145718
8ef1df30-ae4f-4dbd-9351-1a32b208a01e,Alica Keys,Search hint,,,,,2021-09-02 15:32:11.145718
8ef1df30-ae4f-4dbd-9351-1a32b208a01e,Alicia Augello Cook,Legal name,,,,,2021-09-02 15:32:11.145718
f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,Ariana Grande-Butera,Legal name,,,,,2021-09-02 15:32:11.145718
f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,アリアナ・グランデ,,ja,,,,2021-09-02 15:32:11.145718
906cbb69-b793-463a-832d-b5bf850f01a2,Athelete,,,,,,2021-09-02 15:32:11.145718
add5f522-25df-41c4-815e-0ca9f60b83e4,Amanda Ava Koci,Legal name,,,,,2021-09-02 15:32:11.145718
1ba601a0-3401-4b28-8ddd-9af8203661e8,Lightning Seeds,Artist name,en,,,,2021-09-02 15:32:11.145718
1ba601a0-3401-4b28-8ddd-9af8203661e8,Lightening Seeds,Search hint,,,,,2021-09-02 15:32:11.145718
4f69a7a1-a499-48f7-b0f4-d9bf2270cbd8,Baddiel,,,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,披頭四樂隊,,zh_Hant,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,披頭四樂團,,zh_Hant,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,披头士乐队,,zh_Hans,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,披头士,Artist name,zh_Hans,primary,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,披頭四,Artist name,zh_Hant,primary,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Silver Beatles,Artist name,en,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,I Beatles,Artist name,it,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,Die Beatles,Artist name,de,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,ბითლზი,Artist name,ka,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,بیٹلز,Artist name,ur,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,เดอะบีเทิลส์,Artist name,th,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,ద బీటిల్స్,Artist name,te,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,பீட்டில்ஸ்,Artist name,ta,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,ਦ ਬੀਟਲਜ਼,Artist name,pa,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,Битлси,Artist name,mk,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,ദി ബീറ്റിൽസ്,Artist name,ml,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,ದಿ ಬೀಟಲ್ಸ್,Artist name,kn,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,Bítlarnir,Artist name,is,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,द बीटल्स,Artist name,hi,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,더 비틀즈,Artist name,ko,primary,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,הביטלס,Artist name,he,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,ધ બિટલ્સ,Artist name,gu,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,بیتلز,Artist name,fa,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,দ্য বিটল্‌স,Artist name,bn,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,البيتلز,Artist name,ar,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,Los Beatles,Artist name,es,primary,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,ዘ ቢተልስ,Artist name,am,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,ザ・ビートルズ,Artist name,ja,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,Les Beatles,Artist name,fr,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,B,Search hint,,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,Битлз,Artist name,ru,primary,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,fab four,Search hint,,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Beatles,Artist name,en,primary,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,Beetles,Search hint,,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,Be,Search hint,,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,Beat,Search hint,,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,Beatles,Artist name,en,,,,2021-09-02 15:32:11.145718
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Savage Young Beatles,,,,,,2021-09-02 15:32:11.145718
47c8f88b-987a-4b64-9175-2b1b57809727,Bily Idol,,,,,,2021-09-02 15:32:11.145718
47c8f88b-987a-4b64-9175-2b1b57809727,B.Idol,,,,,,2021-09-02 15:32:11.145718
47c8f88b-987a-4b64-9175-2b1b57809727,ビリー・アイドル,,,,,,2021-09-02 15:32:11.145718
