WorkKey,AttributeName,AttributeValue,datestamp
811f296f-184f-4e5b-a9f8-6b2935bb5eb0,GEMA ID,10794394,2021-09-02 15:32:19.486365
d669721e-0539-4fa1-98a5-24aaa7ae8acd,GEMA ID,384444-001,2021-09-02 15:32:19.486365
6fcc319a-4618-3c8f-88f6-d6e6bb32d5ba,JASRAC ID,0U3-2521-4,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,SUISA ID,000015 191 37,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,SPAC ID,5108409,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,SPA ID,4627,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,SOCAN ID,27197371,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,SOBODAYCOM ID,5108409,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,SIAE ID,77200192100,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,SGAE ID,40.706,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,SAYCO ID,6424169,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,SAYCE ID,1366482,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,SADAIC ID,218843,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,SACVEN ID,3269650,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,SACM ID,011135056,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,SACIM ID,5108409,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,SACEM ID,67 690 585 11,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,SABAM ID,000766900,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,PRS tune code,02041Q,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,NICAUTOR ID,5108409,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,LatinNet ID,671,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,JASRAC ID,0G0-9050-1,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,GEMA ID,634782-001,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,ECAD ID,3832,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,COMPASS ID,7714454,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,BUMA/STEMRA ID,W-000035075,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,ASCAP ID,370102424,2021-09-02 15:32:19.486365
246d57d9-014b-3b72-8bc8-aeb25e9fca49,APRA ID,GW01118636,2021-09-02 15:32:19.486365
