territory_name,income_type_group,gross_payable,tax_rate,withholding_tax,net_payable,page_number,Datestamp
Argentina,Digital Mechanical,8.513,31.5,-2.682,5.831,3,2021-09-02 19:59:26.431874
Argentina,Digital Performance,4.893,31.5,-1.541,3.352,3,2021-09-02 19:59:26.431874
Argentina,Mechanical,1.502,31.5,-0.473,1.029,3,2021-09-02 19:59:26.431874
Argentina,Performance,26.385,31.5,-8.311,18.074,3,2021-09-02 19:59:26.431874
Australia,Digital Performance,541.993,5.0,-27.1,514.893,3,2021-09-02 19:59:26.431874
Australia,Mechanical,1169.681,5.0,-58.484,1111.197,3,2021-09-02 19:59:26.431874
Australia,Performance,910.294,5.0,-45.515,864.779,3,2021-09-02 19:59:26.431874
Austria,Mechanical,14.583,0.0,0.0,14.583,3,2021-09-02 19:59:26.431874
Austria,Performance,137.377,0.0,0.0,137.377,3,2021-09-02 19:59:26.431874
Austria,Synchronisation,39.846,0.0,0.0,39.846,3,2021-09-02 19:59:26.431874
Belgium,Digital Mechanical,0.204,0.0,0.0,0.204,3,2021-09-02 19:59:26.431874
Belgium,Digital Performance,0.304,0.0,0.0,0.304,3,2021-09-02 19:59:26.431874
Belgium,Mechanical,0.443,0.0,0.0,0.443,3,2021-09-02 19:59:26.431874
Belgium,Performance,3.712,0.0,0.0,3.712,3,2021-09-02 19:59:26.431874
Brazil,Digital Mechanical,112.28,15.0,-16.842,95.438,3,2021-09-02 19:59:26.431874
Brazil,Digital Performance,12.562,15.0,-1.884,10.678,3,2021-09-02 19:59:26.431874
Brazil,Performance,124.919,15.0,-18.738,106.181,4,2021-09-02 19:59:26.431874
Brazil,Print,0.085,15.0,-0.013,0.072,4,2021-09-02 19:59:26.431874
Brazil,Synchronisation,3.404,15.0,-0.511,2.894,4,2021-09-02 19:59:26.431874
Canada,Digital Mechanical,259.29,0.0,0.0,259.29,4,2021-09-02 19:59:26.431874
Canada,Digital Performance,236.747,0.0,0.0,236.747,4,2021-09-02 19:59:26.431874
Canada,Mechanical,54.555,0.0,0.0,54.555,4,2021-09-02 19:59:26.431874
Canada,Performance,134.992,0.0,0.0,134.992,4,2021-09-02 19:59:26.431874
Canada,Synchronisation,28.278,0.0,0.0,28.278,4,2021-09-02 19:59:26.431874
Chile,Digital Performance,14.774,30.0,-4.432,10.342,4,2021-09-02 19:59:26.431874
