Id,Type,Name,Country,Disambiguation,Gender,Begin,End,Ended,Datestamp
e2bd25ef-41c4-440a-b4e4-e7bcec4a3e39,Group,100 Proof (Aged in Soul),US,70s US funk/soul group,,1969,1973,true,2021-09-02 15:34:44.205388
c119e4b6-9e6d-4ec3-9799-d01d1e42c3d6,Group,101,BE,"Belgian electro project, not to be confused with One O One Electric Dream",,,,true,2021-09-02 15:34:44.205388
f37c537b-3557-4031-bfd6-ab63ced32854,Group,10cc,GB,,,1972,,false,2021-09-02 15:34:44.205388
9132d515-dc0e-4494-85ae-20f06eed14f9,Group,112,US,,,1996,,false,2021-09-02 15:34:44.205388
32dc3f24-253c-47ef-9f7c-157f8442f4a6,Group,113,FR,,,,,false,2021-09-02 15:34:44.205388
515b236c-cce1-4dc2-aedd-50de7b1736e2,Group,2 Unlimited,NL,"Eurodance band from Netherlands, with Ray & Anita",,1991,2002,true,2021-09-02 15:34:44.205388
605e3f29-a8a4-4880-bddd-b9abd73b1ac1,Group,Five Star,GB,"also styled as 5 Star, British pop/R&B group",,1983,,false,2021-09-02 15:34:44.205388
8e68819d-71be-4e7d-b41d-f1df81b01d3f,Person,50 Cent,US,,male,1975-07-06,,false,2021-09-02 15:34:44.205388
241a85e3-da78-437e-a511-c18c14792ccc,Group,Ace,GB,1970's UK rock band,,1972-12,1977-07,true,2021-09-02 15:34:44.205388
cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,Person,Adele,GB,UK soul/jazz singer,female,1988-05-05,,false,2021-09-02 15:34:44.205388
ee58c59f-8e7f-4430-b8ca-236c4d3745ae,Person,Alice Cooper,US,the musician Vincent Damon Furnier,male,1948-02-04,,false,2021-09-02 15:34:44.205388
8ef1df30-ae4f-4dbd-9351-1a32b208a01e,Person,Alicia Keys,US,,female,1981-01-25,,false,2021-09-02 15:34:44.205388
705810d6-4dbd-42f1-be7f-1477625b6198,Person,Alisha,US,"US singer, Alisha Ann Itkin",female,1968-04-16,,false,2021-09-02 15:34:44.205388
f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,Person,Ariana Grande,US,,female,1993-06-26,,false,2021-09-02 15:34:44.205388
906cbb69-b793-463a-832d-b5bf850f01a2,Group,Athlete,GB,,,2002-03,,false,2021-09-02 15:34:44.205388
add5f522-25df-41c4-815e-0ca9f60b83e4,Person,Ava Max,US,,female,1994-02-16,,false,2021-09-02 15:34:44.205388
1ba601a0-3401-4b28-8ddd-9af8203661e8,Group,The Lightning Seeds,GB,,,1989,,false,2021-09-02 15:34:44.205388
4f69a7a1-a499-48f7-b0f4-d9bf2270cbd8,Person,David Baddiel,GB,,,1964-05-28,,false,2021-09-02 15:34:44.205388
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,Group,The Beatles,GB,,,1957-03,1970-04-10,true,2021-09-02 15:34:44.205388
176ca6ea-8ca6-4419-aade-243ddabe89be,Person,Billy Hendrix,,,,,,false,2021-09-02 15:34:44.205388
47c8f88b-987a-4b64-9175-2b1b57809727,Person,Billy Idol,GB,,male,1955-11-30,,false,2021-09-02 15:34:44.205388
8c538f11-c141-4588-8ecb-931083524186,Group,Bloc Party,GB,English indie rock band,,1999-08,,false,2021-09-02 15:34:44.205388
7ec554d3-ec3b-4ed8-b107-2f2e34f04301,Person,Boef,NL,Dutch rapper Sofiane Boussaadia,male,1993-02-28,,false,2021-09-02 15:34:44.205388
b42eca0f-9381-43db-badb-1cba080a7dc2,Group,Boyz II Men,US,,,1988,,false,2021-09-02 15:34:44.205388
9b8d6e2c-2b4e-4924-82ae-226b4e701f6b,Group,The Brand New Heavies,GB,,,1985,,false,2021-09-02 15:34:44.205388
3fbbb18b-e4aa-47e0-9135-84f02298519b,Group,Captain,GB,British alternative rock,,2005,2009,true,2021-09-02 15:34:44.205388
847e8a0c-cc20-4213-9e16-975515c2a926,Person,Céline Dion,CA,,female,1968-03-30,,false,2021-09-02 15:34:44.205388
3f5be744-e867-42fb-8913-5fd69e4099b5,Group,Chicago,US,American pop rock/jazz fusion band,,1967,,false,2021-09-02 15:34:44.205388
c707b37e-cb5c-4694-be4d-46beefcb2475,Person,Chris Rea,GB,,male,1951-03-04,,false,2021-09-02 15:34:44.205388
b202beb7-99bd-47e7-8b72-195c8d72ebdd,Person,Christina Aguilera,US,,female,1980-12-18,,false,2021-09-02 15:34:44.205388
fcb9bfd9-060c-467a-a203-6073d649acaa,,Chupito,,,,,,false,2021-09-02 15:34:44.205388
e24a10ec-55b4-408e-858a-3d348e5fa47c,Group,Clouseau,BE,Belgian pop group,,1984,,false,2021-09-02 15:34:44.205388
d41396da-ed4b-4d0a-a902-d4bcd39cef62,Person,College,FR,Producer from France,male,1979-07-02,,false,2021-09-02 15:34:44.205388
acf6c776-d0f6-4239-b5a2-a45a613ffa52,Group,The Corrs,IE,,,1990,,false,2021-09-02 15:34:44.205388
4b1a830b-0a1f-42e5-b8d5-1d6743912e99,Group,Creed,US,"US rock band from Tallahassee, FL",,1995,,false,2021-09-02 15:34:44.205388
f93bac9e-b20a-403e-abc9-06a2fc151df1,Person,Dave,GB,UK rapper Santan Dave,male,1998-06-05,,false,2021-09-02 15:34:44.205388
302bd7b9-d012-4360-897a-93b00c855680,Person,David Guetta,FR,,male,1967-11-07,,false,2021-09-02 15:34:44.205388
98720123-fcec-47be-9e88-29a310fb2942,Group,Dead or Alive,GB,UK new wave band,,1980,2011,true,2021-09-02 15:34:44.205388
68cbd980-66c5-4612-9bca-981b9e5c6916,Person,Dennis Yost,US,,male,1943,2008-12-07,true,2021-09-02 15:34:44.205388
b78f2e0f-1c86-45f8-a93a-c3cd87d16d72,Group,Classics IV,US,,,1965,,false,2021-09-02 15:34:44.205388
60d41417-feda-4734-bbbf-7dcc30e08a83,Person,Diana Ross,US,,female,1944-03-26,,false,2021-09-02 15:34:44.205388
614e3804-7d34-41ba-857f-811bad7c2b7a,Group,Dire Straits,GB,,,1977,1995,true,2021-09-02 15:34:44.205388
24eb15f6-cd5a-40df-8a98-389319d1c533,Person,DJ Flex,FR,"house artist David Terzian, key tracks ""Ready"", ""Amazing""",male,1976-03-22,,false,2021-09-02 15:34:44.205388
77049387-0580-4a3a-a05f-d12b5d6b5042,Person,DJ Fresh,GB,UK drum & bass DJ Dan Stein,male,1977-04-11,,false,2021-09-02 15:34:44.205388
d70416d3-c006-4a8b-aebd-91a4f198591f,Group,The Donnas,US,,,1992,,false,2021-09-02 15:34:44.205388
9fff2f8a-21e6-47de-a2b8-7f449929d43f,Person,Drake,CA,Canadian actor/rapper,male,1986-10-24,,false,2021-09-02 15:34:44.205388
ee20d564-25ca-4ef5-aba7-93a39f78ed60,Group,East 17,GB,,,1992,,false,2021-09-02 15:34:44.205388
3db42aef-5961-4c75-8f0f-432c9db2a894,Person,Eko Fresh,DE,,male,1983-09-03,,false,2021-09-02 15:34:44.205388
01809552-4f87-45b0-afff-2c6f0730a3be,Person,Elvis Presley,US,“The King of Rock and Roll”,male,1935-01-08,1977-08-16,true,2021-09-02 15:34:44.205388
b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Person,Eminem,US,,male,1972-10-17,,false,2021-09-02 15:34:44.205388
153f885e-ee8c-4d0d-a072-5e3ae8151a04,Person,Enrico,NL,,,,,false,2021-09-02 15:34:44.205388
e22d2f66-881e-41ca-9356-544697ee5f90,Person,Etta James,US,,female,1938-01-25,2012-01-20,true,2021-09-02 15:34:44.205388
1ac10f5e-2079-4435-b78f-dda6ecdeba15,Person,Eve,US,US rapper/singer,female,1978-11-10,,false,2021-09-02 15:34:44.205388
516cef4d-0718-4007-9939-f9b38af3f784,Group,Fall Out Boy,US,,,2001,,false,2021-09-02 15:34:44.205388
88a4cd4e-5dee-4153-8462-0d5e43c75f47,Group,Feeder,GB,,,1995,,false,2021-09-02 15:34:44.205388
1c46e82f-4764-4d82-a33b-5d5aee5e2881,Person,Fergie,US,member of The Black Eyed Peas,female,1975-03-27,,false,2021-09-02 15:34:44.205388
6ae51665-8261-4ae5-883f-1899651ad31b,Group,Filter,,US rock group from Cleveland,,1993,,false,2021-09-02 15:34:44.205388
3199d132-4ba1-4dc4-bef6-f024d0e2443b,Group,Foxy,US,"70s/80s US disco/funk group, ""Get Off""",,1976,1980,true,2021-09-02 15:34:44.205388
23c28813-14ff-48fd-9c83-ffab31f26273,Group,French Affair,,,,1999,2009,true,2021-09-02 15:34:44.205388
ec415a58-84f3-400c-b5ee-78a6f76fa20f,Group,Full House,NL,1970s Dutch group,,,,false,2021-09-02 15:34:44.205388
48262e82-db9f-4a92-b650-dfef979b73ec,Person,Future,US,"US singer/rapper Nayvadius Wilburn, Dungeon Family associate",male,1983-11-20,,false,2021-09-02 15:34:44.205388
ce8ed9d3-26a7-4ada-8f39-be58cb4073d5,Group,Galleon,FR,French popgroup,,2001,,false,2021-09-02 15:34:44.205388
5e05d900-51e0-4dda-81e2-f4c0bd7ed5e6,Person,Gary Glitter,GB,,male,1944-05-08,,false,2021-09-02 15:34:44.205388
6cb79cb2-9087-44d4-828b-5c6fdff2c957,Person,Gary Numan,GB,,male,1958-03-08,,false,2021-09-02 15:34:44.205388
ccb8f30e-4d71-40c4-8b1d-846dafe73e2c,Person,George Michael,GB,,male,1963-06-25,2016-12-25,true,2021-09-02 15:34:44.205388
fe5fb618-2f8b-4158-92b6-464f31672bca,Group,Gerry and the Pacemakers,GB,,,1959,,false,2021-09-02 15:34:44.205388
747e5054-f50b-498c-bff3-85f7313aeb80,Person,Gino Vannelli,CA,,male,1952-06-16,,false,2021-09-02 15:34:44.205388
becd8cc6-a453-4183-af88-dedaaec859a6,Person,Gloria Estefan,US,,female,1957-09-01,,false,2021-09-02 15:34:44.205388
75336c3d-2833-46cb-8037-b835cd7d646d,Group,Golden Earring,NL,,,1961-09-02,2021-02-05,true,2021-09-02 15:34:44.205388
e21857d5-3256-4547-afb3-4b6ded592596,Group,Gorillaz,GB,virtual band,,1999,,false,2021-09-02 15:34:44.205388
084308bd-1654-436f-ba03-df6697104e19,Group,Green Day,US,,,1989,,false,2021-09-02 15:34:44.205388
4cf3cc48-f62d-4ff3-aa03-5e1014de16d7,Group,The Gun,GB,late ’60s UK psychedelic rock band,,1967,1970,true,2021-09-02 15:34:44.205388
8cd276d8-871a-4f03-818d-38ccfa95b833,Group,Gyrl,US,,,,,false,2021-09-02 15:34:44.205388
6508cf1d-4da2-4d71-81ec-0e072338991f,Person,Haddaway,DE,,male,1965-01-09,,false,2021-09-02 15:34:44.205388
01f4fb92-6bf0-4de5-83dc-3fe194e763bf,Group,Happy Mondays,GB,,,1985,1992,true,2021-09-02 15:34:44.205388
bdbd48f5-abf3-4a4f-9a21-4551dbc3fde9,Group,Heart,US,"rock band, Ann and Nancy Wilson",,1973,,false,2021-09-02 15:34:44.205388
db76f244-049f-440e-be53-cc5f3c0cdfb6,Person,Herb Alpert,,,male,1935-03-31,,false,2021-09-02 15:34:44.205388
08646fc2-d10c-48aa-98d0-4f342f55b6c2,Person,Herman van Keeken,,,male,1939-08-15,1995-06-02,true,2021-09-02 15:34:44.205388
ed0c90ee-4cc0-4928-8f61-93dbd7869eb9,Group,The Holloways,GB,,,2004,2011,true,2021-09-02 15:34:44.205388
a749130e-c2d8-4a7c-b740-908ea4574961,Group,Hot Chocolate,GB,70s and 80s British soul band,,1969,,false,2021-09-02 15:34:44.205388
b4691384-50c3-4afd-9988-51d3ec5db65d,Person,Hozier,IE,,male,1990-03-17,,false,2021-09-02 15:34:44.205388
9fe4e32c-f2fa-4c06-877e-b827e95c587b,Group,Ian Van Dahl,BE,,,2000,2008-01-16,true,2021-09-02 15:34:44.205388
1c0186b4-6f73-4186-a5fb-ed997ee0b6df,Person,Ilona Mitrecey,FR,,female,1993-09-01,,false,2021-09-02 15:34:44.205388
