Id,Role,Datestamp
5c0ceac3-feb4-41f0-868d-dc06f6e27fc0,producer,2021-09-02 20:08:22.649987
7950be4d-13a3-48e7-906b-5af562e39544,remixer,2021-09-02 20:08:22.649987
5dcc52af-7064-4051-8d62-7d80f4c3c907,engineer,2021-09-02 20:08:22.649987
59054b12-01ac-43ee-a618-285fd397e461,instrument,2021-09-02 20:08:22.649987
3e3102e1-1896-4f50-b5b2-dd9824e46efe,mix,2021-09-02 20:08:22.649987
0fdbe3c6-7700-4a31-ae54-b53f06ae1cfa,vocal,2021-09-02 20:08:22.649987
a01ee869-80a8-45ef-9447-c59e91aa7926,recording,2021-09-02 20:08:22.649987
36c50022-44e0-488d-994b-33f11d20301e,programming,2021-09-02 20:08:22.649987
22661fb8-cdb7-4f67-8385-b2a8be6c9f0d,arranger,2021-09-02 20:08:22.649987
0eb67a3e-796b-4394-ab6e-1224f43236b6,creative direction,2021-09-02 20:08:22.649987
68330a36-44cf-4fa2-84e8-533c6fe3fc23,misc,2021-09-02 20:08:22.649987
234670ce-5f22-4fd0-921b-ef1662695c5d,conductor,2021-09-02 20:08:22.649987
4820daa1-98d6-4f8b-aa4b-6895c5b79b27,instrument arranger,2021-09-02 20:08:22.649987
40dff87a-e475-4aa6-b615-9935b564d756,editor,2021-09-02 20:08:22.649987
578ee04d-3227-4335-ba2c-11e8ba420e0b,video director,2021-09-02 20:08:22.649987
30adb2d7-dbcc-4393-9230-2098510ce3c1,mastering,2021-09-02 20:08:22.649987
628a9658-f54c-4142-b0c0-95f031b544da,performer,2021-09-02 20:08:22.649987
28338ee6-d578-485a-bb53-61dbfd7c6545,mix-DJ,2021-09-02 20:08:22.649987
35ba2b3b-aaeb-4db1-bc5f-f42154e785d8,compiler,2021-09-02 20:08:22.649987
0cd6aa63-c297-42ed-8725-c16d31913a98,sound,2021-09-02 20:08:22.649987
8a2799e8-a7e2-41ce-a7da-b5f520687216,vocal arranger,2021-09-02 20:08:22.649987
601fc03e-1058-4ee6-a546-b914d55aa6ba,video appearance,2021-09-02 20:08:22.649987
83f72956-2007-4bca-8a97-0ae539cca99d,samples from artist,2021-09-02 20:08:22.649987
45115945-597e-4cb9-852f-4e6ba583fcc8,chorus master,2021-09-02 20:08:22.649987
b1edc6f6-283d-4e32-b625-b96cfb192056,booking,2021-09-02 20:08:22.649987
3b6616c5-88ba-4341-b4ee-81ce1e6d7ebb,performing orchestra,2021-09-02 20:08:22.649987
ca8d6d99-b847-439c-b0ec-33d8a1b942bc,audio,2021-09-02 20:08:22.649987
ffeaa74f-8295-45ee-a2f2-7c0cc1f73b1e,concertmaster,2021-09-02 20:08:22.649987
38fa7405-f9a5-48cb-827a-8ac601933ba0,orchestrator,2021-09-02 20:08:22.649987
7fd5fbc0-fbf4-4d04-be23-417d50a4dc30,phonographic copyright,2021-09-02 20:08:22.649987
0748fa55-56b5-4ad5-8ce8-15b97f82a0c2,balance,2021-09-02 20:08:22.649987
8dc10cef-3116-4b3d-8e3e-33ffb84a97df,artists and repertoire,2021-09-02 20:08:22.649987
9aae9a3d-7cc2-4eee-881d-b8b73d0ceef3,art direction,2021-09-02 20:08:22.649987
e88fefc3-042b-4f28-83af-6a79793b630b,instrument technician,2021-09-02 20:08:22.649987
75e37b65-7b50-4080-bf04-8c59c66b5f65,legal representation,2021-09-02 20:08:22.649987
4af8e696-2690-486f-87db-bc8ec2bfe859,design/illustration,2021-09-02 20:08:22.649987
a7e408a1-8c64-4122-9ec2-906068955187,photography,2021-09-02 20:08:22.649987
