id,type,title,language,iswc,disambiguation,datestamp
ba1b48a0-3403-4338-ae7b-ac087b417c6a,Song,Angeline,eng,,,2021-09-01 07:54:18.340746
4c364ccf-abf9-492e-9d6e-514e4bdcc5d2,Song,Come Hell or High Water,eng,,,2021-09-01 07:54:18.340746
a031d072-088b-30cf-828f-dbb286ebbdfb,Song,Doctor Doctor,eng,,,2021-09-01 07:54:18.340746
792b8031-1ee7-3daa-b2da-baf27dfb1122,Song,Until the End,eng,T-904.726.979-4,,2021-09-01 07:54:18.340746
e38c7bb0-00d7-41d4-886d-0e564a5d815d,Song,Get Up and Jump,eng,,,2021-09-01 07:54:18.340746
e69b3e13-f4c9-4488-8069-38141cf121e7,Song,ManUNkind,eng,,,2021-09-01 07:54:18.340746
d0602e54-7319-3450-af39-80157c5df545,Song,Babel,eng,,,2021-09-01 07:54:18.340746
9e6346d2-64fe-3085-a54d-7de30e53ec37,,You're Gonna Love It,,,,2021-09-01 07:54:18.340746
8843de8c-8750-37e4-ad60-5ecca853d684,Song,Street Spirit (Fade Out),eng,T-010.150.234-4,,2021-09-01 07:54:18.340746
e4227a66-53f9-46fb-a7d0-f2d66ee9487f,Song,Watch Dem Niggas,eng,,,2021-09-01 07:54:18.340746
d3acd40d-a0e9-3bac-afd9-547b985f67e9,Song,The Life of Riley,,T-010.332.785-0,,2021-09-01 07:54:18.340746
7f5960ab-b957-3a34-b453-b2364780dcdd,,From Rochdale to Ocho Rios,,,,2021-09-01 07:54:18.340746
94937a05-3c4e-3255-8d85-359b953e755b,Song,Signs of Life,eng,T-071.287.347-6,,2021-09-01 07:54:18.340746
e6cbdb5c-540c-42e4-9269-3940b6745d20,Song,The Red Shoes,eng,T-010.003.160-4,,2021-09-01 07:54:18.340746
37b43760-f968-4283-baf4-380f40fcb4ea,Song,For No Reason,,,,2021-09-01 07:54:18.340746
40901f53-5909-42bc-8201-42c56ce919b1,Song,In My Life,eng,T-010.174.423-3,,2021-09-01 07:54:18.340746
4d2449fa-1604-3b99-80a5-f48ce74192f3,Song,Where Flowers Fade,,T-011.425.694-8,,2021-09-01 07:54:18.340746
fc6e50dd-839f-352a-90a5-25bdb6da7b51,Song,Revolution,eng,T-010.155.378-9,Beatles song,2021-09-01 07:54:18.340746
48b67008-ad7c-4744-bf7a-cdb1230d91d4,Song,Celle que tu vois,fra,,,2021-09-01 07:54:18.340746
1cbad4a1-8d9c-4bbb-840e-a78cf631db39,Song,Nobody Else,eng,T-924.492.806-1,,2021-09-01 07:54:18.340746
548e25b6-1d8b-3b74-a27b-5813b29c3007,Song,Little Mama,eng,T-927.610.360-7,,2021-09-01 07:54:18.340746
9e8bf4a9-e280-4c1f-b420-cefc8d50362a,Song,Ray’s Blues,eng,,,2021-09-01 07:54:18.340746
95035203-0284-49f8-a428-c58e23fec137,Song,Thugz Mansion (Chill version),eng,,,2021-09-01 07:54:18.340746
e47c5005-f696-4fec-ad48-012dd7e5bdc7,Song,Murder to Excellence,eng,,,2021-09-01 07:54:18.340746
63befadd-51ec-30b0-8caf-e60bfd135335,,That's What Love Can Do,,,,2021-09-01 07:54:18.340746
496cba0c-2b1c-4cb2-9a2f-7c43b0dd823e,Song,Fine,eng,,,2021-09-01 07:54:18.340746
2145dc60-e66e-482b-bbbc-4c77931f31fa,Song,Lyla,eng,T-010.481.992-2,,2021-09-01 07:54:18.340746
2300c913-0986-4dc3-bf26-457c9769d460,Song,Another Time,eng,T-010.457.276-0,,2021-09-01 07:54:18.340746
459ce3e5-ff12-4a73-9cad-cc52cd600c2d,Song,Don’t Tell Me It’s Over,eng,,,2021-09-01 07:54:18.340746
8ec4af7e-0c64-39f1-b818-16d896fc6603,Song,The Sailor’s Hornpipe,zxx,,traditional hornpipe melody,2021-09-01 07:54:18.340746
8f1e414b-3159-360a-a0d5-9071468f01a4,Song,Cholly (Funk Getting Ready to Roll),eng,,,2021-09-01 07:54:18.340746
3ff708a0-c14a-4eb5-9aee-14a8a46eb9c3,Song,Je nous veux,,,,2021-09-01 07:54:18.340746
bd2c2125-3909-4ffa-9c85-0caefae99cd4,Song,Go to Hell,eng,T-072.303.404-5,,2021-09-01 07:54:18.340746
30a9b299-3641-4d35-81ac-10aca2fbd239,Song,Don't Say You Love Me,eng,T-916.865.526-3,,2021-09-01 07:54:18.340746
99e6ab0b-047e-483a-8eec-ae4df6861801,Song,Violin,eng,T-010.003.176-2,,2021-09-01 07:54:18.340746
c28489f9-e452-3056-a90d-2baa02af28e3,,MK Ultra,,,,2021-09-01 07:54:18.340746
12f7df18-3083-493a-ac69-01eb0a2f634c,Song,Be the Rain,eng,,,2021-09-01 07:54:18.340746
8463149d-f0fa-3b67-9176-01562f490a88,,Más,,,,2021-09-01 07:54:18.340746
6923956c-3624-32fc-8ca2-d2613310fc0a,,Funky Shine,,,,2021-09-01 07:54:18.340746
36f4a22a-72ea-40c0-b583-4f79bb01fe5e,Song,Nada One,eng,T-070.154.313-6,,2021-09-01 07:54:18.340746
48b37439-c2c8-4387-a3d7-e838b6abc7ae,Song,Goodbye,eng,T-911.060.153-1,Air Supply song,2021-09-01 07:54:18.340746
caaebb96-1a3f-412c-a453-80b0b3532b10,Song,25 to Life,eng,T-905.289.989-5,,2021-09-01 07:54:18.340746
0d824d80-9812-47b1-858d-0b5841ae4ba3,Song,Tears in the Rain,eng,T-902.896.201-8,,2021-09-01 07:54:18.340746
2ac022d8-bfb0-4a8e-99ae-7b1f215ccb4b,Song,Icon,eng,T-010.155.828-4,,2021-09-01 07:54:18.340746
0abe9c13-e0c6-4766-a944-e0bd1ac2c82b,Song,Closed on Sunday,eng,,,2021-09-01 07:54:18.340746
7c041f91-2032-30d0-b4e4-b2d9c58dfc7e,Song,Soldier On,eng,T-905.461.844-9,,2021-09-01 07:54:18.340746
71fe9cb3-a30f-4d32-ba70-0bf49d0009a2,,Elevate,,,,2021-09-01 07:54:18.340746
48a44aca-5fce-386c-9173-5ab7d01f0f40,,Girls,,,,2021-09-01 07:54:18.340746
afcc33f4-7877-3096-a025-179a1c3adce8,Song,"Here, There and Everywhere",eng,T-010.433.456-6,,2021-09-01 07:54:18.340746
6604f2dc-335c-4b63-a87a-640f2a0e7c9e,Song,God Is,eng,,,2021-09-01 07:54:18.340746
a7270bc0-4561-4bad-ad05-0dbd1ce462c7,Song,X-Girlfriend,eng,T-070.934.853-7,,2021-09-01 07:54:18.340746
3d2b4e56-6b80-3fb3-879c-66e0967fa06b,Song,Naked in the Rain,eng,,,2021-09-01 07:54:18.340746
d588136d-94e5-4565-998c-6c4ac7b18d6c,Song,Sing Out the Devil,eng,,,2021-09-01 07:54:18.340746
772f29fd-3dfb-44b3-893b-a46bc5d02a65,Song,I Want Love,eng,T-071.398.259-2,,2021-09-01 07:54:18.340746
a66cb56f-ee68-4909-b783-b11b3b1d2fe0,,Long Slow Goodbye,,,,2021-09-01 07:54:18.340746
62e3428c-b22d-4251-aeff-c966d153ccf5,Song,Fire,eng,,,2021-09-01 07:54:18.340746
d9776256-9ff3-366d-97d4-5cfac2f45b7a,Song,Brighter Than a Thousand Suns,eng,,,2021-09-01 07:54:18.340746
7fde3300-0485-40f5-ab4a-ace897d85498,Song,City Lights,eng,,,2021-09-01 07:54:18.340746
37155e19-fc60-345f-950a-78100f0cf788,,I Go Crazy,,,,2021-09-01 07:54:18.340746
7faca123-87cf-3855-9fea-26e2669c753e,Song,Young Folks,eng,,,2021-09-01 07:54:18.340746
7d58868f-babb-4d10-bec5-d94abc772de7,Song,Anywhere,eng,T-070.883.362-8,,2021-09-01 07:54:18.340746
194f4bb3-df29-4246-a39a-b85354f7c5d9,Song,See Your Sunshine,eng,T-900.216.664-5,,2021-09-01 07:54:18.340746
61c71629-16f1-43f2-986b-48ecf4bdcafe,Song,Blue Yodel No. 7 (Anniversary Blue Yodel),eng,T-914.722.262-6,,2021-09-01 07:54:18.340746
cb481152-5ec6-36d6-b58f-169af16bfcd2,Song,Whole Wide World,eng,T-010.179.307-0,,2021-09-01 07:54:18.340746
92101a28-1f67-4464-9dea-ba60d50afbbd,,The Other Side,zxx,,,2021-09-01 07:54:18.340746
660e9c82-497b-307b-8374-1f5489becdaf,Song,In Dreams,eng,T-070.919.142-3,,2021-09-01 07:54:18.340746
b95ada7c-b351-4a40-bb4c-025fedd21372,Song,Get Outta My Way,eng,,,2021-09-01 07:54:18.340746
7003d633-45ac-4833-a910-7338020d310d,Song,Wild Horses,eng,T-912.976.622-9,,2021-09-01 07:54:18.340746
62049eed-5a36-4332-85f5-8e28151d997b,Song,Tous les secrets de ton coeur,fra,T-004.680.852-9,,2021-09-01 07:54:18.340746
f769077a-fc0e-3cb4-b7cb-3b87f09c9cc7,Song,Lollipops and Roses,eng,T-070.268.683-6,,2021-09-01 07:54:18.340746
7c0ef421-b37d-4a70-b829-f58b2aa3fdf2,Song,Black Lines,eng,,,2021-09-01 07:54:18.340746
deee8d23-5cac-4364-81ae-cb513a4ab29e,Song,Don’t,eng,,,2021-09-01 07:54:18.340746
634f83cd-4026-3d85-bc1e-779605265ce1,,I Saw Three Ships,eng,,,2021-09-01 07:54:18.340746
07a657fa-5988-4c39-9c80-c320340b89d7,Song,Afraid,eng,T-072.763.288-3,,2021-09-01 07:54:18.340746
d9f578d5-9542-452d-9b2b-3e3a56b2244e,Song,Pollywanacraka,,,,2021-09-01 07:54:18.340746
