Id,Role,Datestamp
d59d99ea-23d4-4a80-b066-edca32ee158f,composer,2021-09-02 20:08:28.288804
3e48faba-ec01-47fd-8e89-30e81161661c,lyricist,2021-09-02 20:08:28.288804
a255bca1-b157-4518-9108-7b147dc3fc68,writer,2021-09-02 20:08:28.288804
da6c5d8a-ce13-474d-9375-61feb29039a5,translator,2021-09-02 20:08:28.288804
d3fd781c-5894-47e2-8c12-86cc0e2c8d08,arranger,2021-09-02 20:08:28.288804
0a1771e1-8639-4740-8a43-bdafc050c3da,orchestrator,2021-09-02 20:08:28.288804
a442b140-830b-30b0-a4aa-2e36f098b6aa,publishing,2021-09-02 20:08:28.288804
7d166271-99c7-3a13-ae96-d2aab758029d,misc,2021-09-02 20:08:28.288804
26131498-00e8-4136-b937-22a4be01a63d,dedication,2021-09-02 20:08:28.288804
5cc8cfb5-cca0-4395-a44b-b7d3c1777608,premiere,2021-09-02 20:08:28.288804
0084e70a-873e-4f7f-b3ff-635b9e863dae,instrument arranger,2021-09-02 20:08:28.288804
535fdfed-3bca-40ad-966b-e67be7882d09,named after,2021-09-02 20:08:28.288804
eeb9c319-9fde-4313-b76d-29db1576aad8,revised by,2021-09-02 20:08:28.288804
6a88b92b-8fb5-41b3-aa1f-169ee7e05ed6,vocal arranger,2021-09-02 20:08:28.288804
7231dcac-d2dc-4b4a-b218-ecea4123a4cd,previous attribution,2021-09-02 20:08:28.288804
7474ab81-486f-40b5-8685-3a4f8ea624cb,librettist,2021-09-02 20:08:28.288804
