InputartistArtist,InputtrackTrack,InputtrackKey,Datestamp
100 PROOF AGED IN SOUL,EVERYTHING GOOD IS BAD,e2bd25ef-41c4-440a-b4e4-e7bcec4a3e39,2021-09-02 15:34:44.242350
101 BE,ROCK TO THE BEAT,c119e4b6-9e6d-4ec3-9799-d01d1e42c3d6,2021-09-02 15:34:44.242350
10CC,24 HOURS,f37c537b-3557-4031-bfd6-ab63ced32854,2021-09-02 15:34:44.242350
112,ONLY YOU,9132d515-dc0e-4494-85ae-20f06eed14f9,2021-09-02 15:34:44.242350
113,LES PRINCES DE LA VILLE,32dc3f24-253c-47ef-9f7c-157f8442f4a6,2021-09-02 15:34:44.242350
2 UNLIMITED,HERE I GO,515b236c-cce1-4dc2-aedd-50de7b1736e2,2021-09-02 15:34:44.242350
5 STAR,WHENEVER YOURE READY,605e3f29-a8a4-4880-bddd-b9abd73b1ac1,2021-09-02 15:34:44.242350
50 CENT,21 QUESTIONS,8e68819d-71be-4e7d-b41d-f1df81b01d3f,2021-09-02 15:34:44.242350
ACE,HOW LONG,241a85e3-da78-437e-a511-c18c14792ccc,2021-09-02 15:34:44.242350
ADELE,HOMETOWN GLORY,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,2021-09-02 15:34:44.242350
ALICE COOPER,POISON,ee58c59f-8e7f-4430-b8ca-236c4d3745ae,2021-09-02 15:34:44.242350
ALICIA KEYS,EMPIRE STATE OF MIND,8ef1df30-ae4f-4dbd-9351-1a32b208a01e,2021-09-02 15:34:44.242350
ALISHA,BABY TALK,705810d6-4dbd-42f1-be7f-1477625b6198,2021-09-02 15:34:44.242350
ARIANA GRANDE,SIDE TO SIDE,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,2021-09-02 15:34:44.242350
ATHLETE,WIRES,906cbb69-b793-463a-832d-b5bf850f01a2,2021-09-02 15:34:44.242350
AVA MAX,SO AM I,add5f522-25df-41c4-815e-0ca9f60b83e4,2021-09-02 15:34:44.242350
BADDIEL SKINNER LIGHTNING SEEDS,THREE LIONS,1ba601a0-3401-4b28-8ddd-9af8203661e8,2021-09-02 15:34:44.242350
BADDIEL SKINNER LIGHTNING SEEDS,THREE LIONS,4f69a7a1-a499-48f7-b0f4-d9bf2270cbd8,2021-09-02 15:34:44.242350
BEATLES,HEY JUDE,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,2021-09-02 15:34:44.242350
BILLY HENDRIX,BODY SHINE,176ca6ea-8ca6-4419-aade-243ddabe89be,2021-09-02 15:34:44.242350
BILLY IDOL,DONT NEED A GUN,47c8f88b-987a-4b64-9175-2b1b57809727,2021-09-02 15:34:44.242350
BLOC PARTY,FLUX,8c538f11-c141-4588-8ecb-931083524186,2021-09-02 15:34:44.242350
