RecordKey,IsrcValue,Datestamp
01d8591b-7242-40e1-9af1-af92a03de2e4,BEC019900368,2021-09-02 20:08:22.652984
1ead2f45-41c8-4f0f-beda-c51154ca50ac,BEI011300040,2021-09-02 20:08:22.652984
0cc6434c-fd9c-41b9-9c2f-751baefb12d1,GBCBU7510353,2021-09-02 20:08:22.652984
0f3eae4f-a92a-4b46-870b-680297400241,GBCBU7510351,2021-09-02 20:08:22.652984
1b436bd3-2a5a-4683-9961-be08e22d5038,GBUM71403174,2021-09-02 20:08:22.652984
b4fdbbae-dbce-4be0-a96c-ba83e779b7e3,GBF088300035,2021-09-02 20:08:22.652984
053c4e34-9105-4de9-ad83-b4d040d0420d,GBF080201123,2021-09-02 20:08:22.652984
09c772fd-77de-4f78-a9ad-3b37be51a4b7,GBUM71404669,2021-09-02 20:08:22.652984
d9d414bb-6ce1-4e8c-aa47-56e429ae8d5b,GBBLY1603974,2021-09-02 20:08:22.652984
f0ad8b6d-49ae-454a-87f9-853f0459ea2f,GBUM71401067,2021-09-02 20:08:22.652984
c8cec586-034b-4261-846b-33689fcc427b,GBF080080522,2021-09-02 20:08:22.652984
fef6155b-6e28-46d2-832a-d92e34ac990a,GBF080201017,2021-09-02 20:08:22.652984
b78eef5b-496c-49a8-88d0-adb5c2e3b920,GBF087700745,2021-09-02 20:08:22.652984
67397bbf-22e9-4812-b1cc-3d1ecf25f9cc,GBF087500012,2021-09-02 20:08:22.652984
9db88f74-b79e-4e38-8e0a-9ce51e930d7d,GBCBU7410340,2021-09-02 20:08:22.652984
ad191108-c814-4665-8c45-275649c2eec3,GBCBU7510354,2021-09-02 20:08:22.652984
bac935c3-224a-491e-8e21-4b252cb7a1c5,GBF087500041,2021-09-02 20:08:22.652984
bac935c3-224a-491e-8e21-4b252cb7a1c5,GBFO87500041,2021-09-02 20:08:22.652984
19196dbd-8a7f-4481-b0e3-e7bcc7003b33,GBF087500043,2021-09-02 20:08:22.652984
19196dbd-8a7f-4481-b0e3-e7bcc7003b33,GBFO87500043,2021-09-02 20:08:22.652984
